date,open,high,low,close,annual_return,year
2009-12-31,1109,1109,1109,1109,0.0,2009
2010-12-31,1089,1206,1027,1206,11.0,2010
2011-12-31,1308,1342,1204,1245,-5.0,2011
2012-12-31,1324,1444,1278,1428,8.0,2012
2013-12-31,1513,1762,1513,1762,16.0,2013
2014-12-31,1886,2053,1884,2053,9.0,2014
2015-12-31,2060,2112,1914,2103,2.0,2015
2016-12-31,1939,2191,1939,2191,13.0,2016
2017-12-31,2280,2642,2280,2642,16.0,2017
2018-12-31,2822,2925,2655,2740,-3.0,2018
2019-12-31,2707,3067,2707,3067,13.0,2019
2020-12-31,2471,3662,2471,3662,48.0,2020
2021-12-31,3774,4614,3774,4513,20.0,2021
2022-12-31,4547,4547,3825,4077,-10.0,2022
2023-12-31,4119,4168,3951,4168,1.0,2023
