full_date,price
2003/12/01,102.15
2004/01/01,102.91
2004/02/01,103.03
2004/03/01,104.12
2004/04/01,102.23
2004/05/01,99.21
2004/06/01,99.0
2004/07/01,100.97
2004/08/01,101.96
2004/09/01,102.57
2004/10/01,102.5
2004/11/01,102.49
2004/12/01,102.77
2005/01/01,102.54
2005/02/01,103.07
2005/03/01,101.2
2005/04/01,101.47
2005/05/01,102.16
2005/06/01,102.51
2005/07/01,102.38
2005/08/01,101.83
2005/09/01,102.05
2005/10/01,100.79
2005/11/01,99.75
2005/12/01,99.75
2006/01/01,100.75
2006/02/01,100.01
2006/03/01,99.34
2006/04/01,98.41
2006/05/01,97.59
2006/06/01,98.07
2006/07/01,97.67
2006/08/01,98.36
2006/09/01,99.34
2006/10/01,99.34
2006/11/01,100.2
2006/12/01,100.78
2007/01/01,99.67
2007/02/01,99.63
2007/03/01,100.54
2007/04/01,99.75
2007/05/01,99.93
2007/06/01,97.2
2007/07/01,97.78
2007/08/01,98.33
2007/09/01,100.12
2007/10/01,99.45
2007/11/01,100.66
2007/12/01,101.05
2008/01/01,102.59
2008/02/01,102.93
2008/03/01,102.56
2008/04/01,102.67
2008/05/01,102.05
2008/06/01,99.45
2008/07/01,100.38
2008/08/01,99.86
2008/09/01,101.21
2008/10/01,91.82
2008/11/01,96.36
2008/12/01,100.49
2009/01/01,103.05
2009/02/01,102.1
2009/03/01,100.57
2009/04/01,101.15
2009/05/01,101.81
2009/06/01,100.81
2009/07/01,102.83
2009/08/01,102.69
2009/09/01,104.09
2009/10/01,104.4
2009/11/01,104.79
2009/12/01,104.68
2010/01/01,104.24
2010/02/01,104.02
2010/03/01,104.52
2010/04/01,104.02
2010/05/01,104.68
2010/06/01,105.81
2010/07/01,106.86
2010/08/01,107.74
2010/09/01,107.74
2010/10/01,108.65
2010/11/01,107.51
2010/12/01,105.37
2011/01/01,105.57
2011/02/01,104.35
2011/03/01,105.69
2011/04/01,105.06
2011/05/01,106.62
2011/06/01,107.34
2011/07/01,107.5
2011/08/01,109.24
2011/09/01,109.94
2011/10/01,109.06
2011/11/01,109.88
2011/12/01,109.42
2012/01/01,110.3
2012/02/01,110.45
2012/03/01,110.29
2012/04/01,110.02
2012/05/01,111.04
2012/06/01,110.91
2012/07/01,112.04
2012/08/01,111.86
2012/09/01,111.57
2012/10/01,112.32
2012/11/01,112.05
2012/12/01,111.33
2013/01/01,110.95
2013/02/01,110.15
2013/03/01,110.08
2013/04/01,111.2
2013/05/01,110.38
2013/06/01,108.22
2013/07/01,106.81
2013/08/01,107.08
2013/09/01,105.54
2013/10/01,106.87
2013/11/01,106.72
2013/12/01,106.6
2014/01/01,107.2
2014/02/01,107.54
2014/03/01,107.7
2014/04/01,108.47
2014/05/01,108.6
2014/06/01,108.91
2014/07/01,109.07
2014/08/01,109.34
2014/09/01,108.63
2014/10/01,110.31
2014/11/01,109.71
2014/12/01,110.56
2015/01/01,111.12
2015/02/01,110.89
2015/03/01,110.55
2015/04/01,111.37
2015/05/01,109.58
2015/06/01,108.58
2015/07/01,108.22
2015/08/01,109.35
2015/09/01,109.09
2015/10/01,109.61
2015/11/01,108.34
2015/12/01,108.18
2016/01/01,108.59
2016/02/01,109.77
2016/03/01,109.48
2016/04/01,110.78
2016/05/01,110.99
2016/06/01,111.61
2016/07/01,112.61
2016/08/01,112.63
2016/09/01,111.82
2016/10/01,111.4
2016/11/01,108.81
2016/12/01,107.74
2017/01/01,108.61
2017/02/01,108.3
2017/03/01,107.12
2017/04/01,109.13
2017/05/01,108.92
2017/06/01,109.56
2017/07/01,109.38
2017/08/01,109.82
2017/09/01,109.98
2017/10/01,109.59
2017/11/01,108.99
2017/12/01,109.1
2018/01/01,108.74
2018/02/01,106.79
2018/03/01,106.43
2018/04/01,106.77
2018/05/01,105.76
2018/06/01,105.67
2018/07/01,106.41
2018/08/01,106.29
2018/09/01,105.8
2018/10/01,104.75
2018/11/01,104.31
2018/12/01,105.5
2019/01/01,106.4
2019/02/01,107.25
2019/03/01,107.64
2019/04/01,108.27
2019/05/01,108.85
2019/06/01,110.36
2019/07/01,110.79
2019/08/01,113.05
2019/09/01,112.42
2019/10/01,112.92
2019/11/01,111.95
2019/12/01,112.36
2020/01/01,112.91
2020/02/01,114.09
2020/03/01,110.13
2020/04/01,116.7
2020/05/01,116.41
2020/06/01,117.58
2020/07/01,118.48
2020/08/01,118.75
2020/09/01,118.38
2020/10/01,117.95
2020/11/01,117.62
2020/12/01,117.96
2021/01/01,116.99
2021/02/01,116.58
2021/03/01,113.79
2021/04/01,114.15
2021/05/01,113.78
2021/06/01,114.94
2021/07/01,115.61
2021/08/01,115.55
2021/09/01,116.02
2021/10/01,114.37
2021/11/01,114.32
2021/12/01,114.63
2022/01/01,112.6
2022/02/01,109.46
2022/03/01,107.36
2022/04/01,104.61
2022/05/01,102.95
2022/06/01,99.6
2022/07/01,101.84
2022/08/01,103.12
2022/09/01,99.63
2022/10/01,95.48
2022/11/01,96.24
2022/12/01,98.81
2023/01/01,100.29
2023/02/01,98.72
2023/03/01,98.87
2023/04/01,99.93
2023/05/01,99.39
