date,year,month,sp500_monthly_price,treasury_bill_rate,agg_monthly_price,acwx_monthly_price,sp500_excess_return
2009-12-01,2009,12,1109,0.06,104.68,41.76,-19.05
2010-02-01,2010,2,1089,0.1,104.02,39.3,-22.71
2010-03-01,2010,3,1116,0.13,104.52,39.48,-13.15
2010-04-01,2010,4,1178,0.16,104.02,42.44,-6.51
2010-06-01,2010,6,1071,0.16,105.81,36.1,-7.75
2010-07-01,2010,7,1027,0.17,106.86,35.5,25.86
2010-09-01,2010,9,1080,0.13,107.74,38.89,33.17
2010-10-01,2010,10,1146,0.16,108.65,41.77,30.52
2010-11-01,2010,11,1184,0.13,107.51,42.71,25.56
2010-12-01,2010,12,1206,0.16,105.37,42.43,30.66
2011-02-01,2011,2,1308,0.15,104.35,45.34,31.06
2011-03-01,2011,3,1306,0.14,105.69,45.1,26.8
2011-04-01,2011,4,1334,0.07,105.06,45.92,20.29
2011-06-01,2011,6,1342,0.05,107.34,45.27,23.23
2011-07-01,2011,7,1340,0.02,107.5,45.49,20.07
2011-08-01,2011,8,1308,0.1,109.24,43.51,11.04
2011-09-01,2011,9,1204,0.02,109.94,39.75,12.42
2011-11-01,2011,11,1218,0.01,109.88,37.66,18.6
2011-12-01,2011,12,1245,0.01,109.42,38.01,15.28
2012-02-01,2012,2,1324,0.06,110.45,39.72,15.53
2012-03-01,2012,3,1374,0.08,110.29,41.5,16.05
2012-05-01,2012,5,1406,0.09,111.04,40.31,16.58
2012-06-01,2012,6,1278,0.07,110.91,34.8,-2.29
2012-08-01,2012,8,1375,0.1,111.86,37.25,5.28
2012-10-01,2012,10,1444,0.09,112.32,39.8,8.25
2012-11-01,2012,11,1428,0.09,112.05,40.1,6.41
2013-02-01,2013,2,1513,0.06,110.15,43.49,12.91
2013-03-01,2013,3,1518,0.11,110.08,42.58,16.06
2013-04-01,2013,4,1562,0.08,111.2,42.42,29.73
2013-05-01,2013,5,1583,0.06,110.38,44.03,29.97
2013-07-01,2013,7,1615,0.04,106.81,40.98,29.72
2013-08-01,2013,8,1707,0.04,107.08,43.14,28.93
2013-10-01,2013,10,1695,0.02,106.87,45.18,23.36
2013-11-01,2013,11,1762,0.04,106.72,46.15,25.32
2014-04-01,2014,4,1886,0.04,108.47,46.89,47.57
2014-05-01,2014,5,1884,0.03,108.6,47.37,37.02
2014-07-01,2014,7,1973,0.02,109.07,48.43,36.63
2014-08-01,2014,8,1925,0.03,109.34,47.09,34.8
2014-10-01,2014,10,1946,0.02,110.31,44.88,28.62
2014-12-01,2014,12,2053,0.03,110.56,45.15,35.24
2015-04-01,2015,4,2060,0.03,111.37,45.07,31.88
2015-05-01,2015,5,2108,0.01,109.58,47.23,33.16
2015-06-01,2015,6,2112,0.02,108.58,46.12,30.77
2015-07-01,2015,7,2077,0.01,108.22,44.44,21.68
2015-09-01,2015,9,1914,0.03,109.09,39.42,12.92
2015-10-01,2015,10,1924,-0.02,109.61,39.18,9.19
2015-12-01,2015,12,2103,0.21,108.18,41.54,11.51
2016-02-01,2016,2,1939,0.35,109.77,37.28,2.92
2016-03-01,2016,3,1978,0.33,109.48,37.55,0.25
2016-04-01,2016,4,2073,0.23,110.78,39.15,7.69
2016-06-01,2016,6,2099,0.3,111.61,40.0,7.86
2016-07-01,2016,7,2103,0.27,112.61,39.09,2.44
2016-08-01,2016,8,2171,0.29,112.63,40.34,5.39
2016-09-01,2016,9,2171,0.33,111.82,41.15,2.99
2016-11-01,2016,11,2112,0.35,108.81,40.59,0.0
2016-12-01,2016,12,2191,0.47,107.74,39.74,5.49
2017-02-01,2017,2,2280,0.5,108.3,41.98,19.12
2017-03-01,2017,3,2396,0.62,107.12,42.82,24.53
2017-05-01,2017,5,2388,0.82,108.92,44.74,13.55
2017-06-01,2017,6,2430,0.96,109.56,46.42,25.32
2017-08-01,2017,8,2476,1.06,109.82,47.42,25.18
2017-09-01,2017,9,2477,1.0,109.98,47.56,19.49
2017-11-01,2017,11,2579,1.16,108.99,49.42,22.87
2017-12-01,2017,12,2642,1.25,109.1,49.39,25.63
2018-02-01,2018,2,2822,1.46,106.79,52.69,29.99
2018-03-01,2018,3,2678,1.6,106.43,49.45,23.35
2018-05-01,2018,5,2655,1.82,105.76,49.8,25.71
2018-06-01,2018,6,2735,1.88,105.67,49.4,24.83
2018-08-01,2018,8,2813,1.99,106.29,48.38,23.38
2018-10-01,2018,10,2925,2.19,104.75,47.84,22.08
2018-11-01,2018,11,2740,2.27,104.31,44.69,14.74
2019-02-01,2019,2,2707,2.35,107.25,45.03,11.4
2019-03-01,2019,3,2804,2.39,107.64,46.07,13.25
2019-04-01,2019,4,2867,2.38,108.27,46.88,15.74
2019-05-01,2019,5,2924,2.38,108.85,47.3,13.38
2019-07-01,2019,7,2964,2.16,110.79,47.1,12.19
2019-08-01,2019,8,2954,2.03,113.05,45.55,4.68
2019-10-01,2019,10,2940,1.78,112.92,45.66,9.78
2019-11-01,2019,11,3067,1.49,111.95,47.99,15.52
2020-04-01,2020,4,2471,0.09,116.7,35.85,-9.65
2020-05-01,2020,5,2831,0.12,116.41,39.04,0.64
2020-06-01,2020,6,3056,0.14,117.58,42.82,4.48
2020-07-01,2020,7,3116,0.14,118.48,43.48,13.72
2020-09-01,2020,9,3527,0.12,118.38,47.18,30.29
2020-10-01,2020,10,3381,0.09,117.95,46.37,20.58
2020-12-01,2020,12,3662,0.09,117.96,51.74,27.73
2021-02-01,2021,2,3774,0.07,116.58,54.11,29.07
2021-03-01,2021,3,3902,0.05,113.79,55.47,31.65
2021-04-01,2021,4,4020,0.02,114.15,55.92,36.09
2021-06-01,2021,6,4202,0.02,114.94,58.9,42.93
2021-07-01,2021,7,4320,0.05,115.61,57.53,40.85
2021-09-01,2021,9,4524,0.05,116.02,57.95,83.08
2021-10-01,2021,10,4357,0.04,114.37,55.68,53.9
2021-11-01,2021,11,4614,0.05,114.32,57.6,50.98
2021-12-01,2021,12,4513,0.06,114.63,54.41,44.83
2022-02-01,2022,2,4547,0.2,109.46,54.61,28.92
2022-03-01,2022,3,4306,0.32,107.36,51.38,27.36
2022-04-01,2022,4,4546,0.52,104.61,52.78,24.14
2022-06-01,2022,6,4101,1.12,99.6,49.21,8.66
2022-07-01,2022,7,3825,1.66,101.84,44.97,-1.97
2022-08-01,2022,8,4119,2.48,103.12,46.36,2.46
2022-09-01,2022,9,3967,2.88,99.63,43.79,-5.59
2022-11-01,2022,11,3856,4.06,96.24,41.87,-10.74
2022-12-01,2022,12,4077,4.22,98.81,47.23,-9.88
2023-02-01,2023,2,4119,4.54,98.72,50.01,-5.46
2023-03-01,2023,3,3951,4.73,98.87,47.81,-14.37
2023-05-01,2023,5,4168,5.1,99.39,49.59,-7.64
