date,year,month,sp500_monthly_price,treasury_bill_rate,agg_monthly_price,acwx_monthly_price
2008-04-01,2008,4,1370,1.38,102.67,51.36
2008-05-01,2008,5,1409,1.42,102.05,53.84
2008-07-01,2008,7,1285,1.84,100.38,49.66
2008-08-01,2008,8,1260,1.63,99.86,47.69
2008-09-01,2008,9,1275,.,101.21,44.98
2008-10-01,2008,10,1161,0.84,91.82,39.69
2008-12-01,2008,12,816,0.07,100.49,26.5
2009-01-01,2009,1,927,.,103.05,31.21
2009-04-01,2009,4,811,0.22,101.15,27.32
2009-05-01,2009,5,878,0.15,101.81,30.53
2009-06-01,2009,6,943,0.13,100.81,35.42
2009-07-01,2009,7,923,0.17,102.83,33.75
2009-09-01,2009,9,998,0.14,104.09,36.99
2009-10-01,2009,10,1030,0.10,104.4,38.64
2009-12-01,2009,12,1109,0.06,104.68,41.76
2010-01-01,2010,1,1133,.,104.24,42.06
2010-02-01,2010,2,1089,0.10,104.02,39.3
2010-03-01,2010,3,1116,0.13,104.52,39.48
2010-04-01,2010,4,1178,0.16,104.02,42.44
2010-06-01,2010,6,1071,0.16,105.81,36.1
2010-07-01,2010,7,1027,0.17,106.86,35.5
2010-09-01,2010,9,1080,0.13,107.74,38.89
2010-10-01,2010,10,1146,0.16,108.65,41.77
2010-11-01,2010,11,1184,0.13,107.51,42.71
2010-12-01,2010,12,1206,0.16,105.37,42.43
2011-02-01,2011,2,1308,0.15,104.35,45.34
2011-03-01,2011,3,1306,0.14,105.69,45.1
2011-04-01,2011,4,1334,0.07,105.06,45.92
2011-06-01,2011,6,1342,0.05,107.34,45.27
2011-07-01,2011,7,1340,0.02,107.5,45.49
2011-08-01,2011,8,1308,0.10,109.24,43.51
2011-09-01,2011,9,1204,0.02,109.94,39.75
2011-11-01,2011,11,1218,0.01,109.88,37.66
2011-12-01,2011,12,1245,0.01,109.42,38.01
2012-02-01,2012,2,1324,0.06,110.45,39.72
2012-03-01,2012,3,1374,0.08,110.29,41.5
2012-05-01,2012,5,1406,0.09,111.04,40.31
2012-06-01,2012,6,1278,0.07,110.91,34.8
2012-08-01,2012,8,1375,0.10,111.86,37.25
2012-10-01,2012,10,1444,0.09,112.32,39.8
2012-11-01,2012,11,1428,0.09,112.05,40.1
2013-01-01,2013,1,1426,.,110.95,42.64
2013-02-01,2013,2,1513,0.06,110.15,43.49
2013-03-01,2013,3,1518,0.11,110.08,42.58
2013-04-01,2013,4,1562,0.08,111.2,42.42
2013-05-01,2013,5,1583,0.06,110.38,44.03
2013-07-01,2013,7,1615,0.04,106.81,40.98
2013-08-01,2013,8,1707,0.04,107.08,43.14
2013-10-01,2013,10,1695,0.02,106.87,45.18
2013-11-01,2013,11,1762,0.04,106.72,46.15
2014-01-01,2014,1,1831,.,107.2,45.77
2014-04-01,2014,4,1886,0.04,108.47,46.89
2014-05-01,2014,5,1884,0.03,108.6,47.37
2014-07-01,2014,7,1973,0.02,109.07,48.43
2014-08-01,2014,8,1925,0.03,109.34,47.09
2014-09-01,2014,9,2001,.,108.63,47.81
2014-10-01,2014,10,1946,0.02,110.31,44.88
2014-12-01,2014,12,2053,0.03,110.56,45.15
2015-01-01,2015,1,2021,.,111.12,42.76
2015-04-01,2015,4,2060,0.03,111.37,45.07
2015-05-01,2015,5,2108,0.01,109.58,47.23
2015-06-01,2015,6,2112,0.02,108.58,46.12
2015-07-01,2015,7,2077,0.01,108.22,44.44
2015-09-01,2015,9,1914,0.03,109.09,39.42
2015-10-01,2015,10,1924,-0.02,109.61,39.18
2015-12-01,2015,12,2103,0.21,108.18,41.54
2016-01-01,2016,1,2013,.,108.59,38.85
2016-02-01,2016,2,1939,0.35,109.77,37.28
2016-03-01,2016,3,1978,0.33,109.48,37.55
2016-04-01,2016,4,2073,0.23,110.78,39.15
2016-06-01,2016,6,2099,0.30,111.61,40.0
2016-07-01,2016,7,2103,0.27,112.61,39.09
2016-08-01,2016,8,2171,0.29,112.63,40.34
2016-09-01,2016,9,2171,0.33,111.82,41.15
2016-11-01,2016,11,2112,0.35,108.81,40.59
2016-12-01,2016,12,2191,0.47,107.74,39.74
2017-02-01,2017,2,2280,0.50,108.3,41.98
2017-03-01,2017,3,2396,0.62,107.12,42.82
2017-05-01,2017,5,2388,0.82,108.92,44.74
2017-06-01,2017,6,2430,0.96,109.56,46.42
2017-08-01,2017,8,2476,1.06,109.82,47.42
2017-09-01,2017,9,2477,1.00,109.98,47.56
2017-11-01,2017,11,2579,1.16,108.99,49.42
2017-12-01,2017,12,2642,1.25,109.1,49.39
2018-01-01,2018,1,2713,.,108.74,50.5
2018-02-01,2018,2,2822,1.46,106.79,52.69
2018-03-01,2018,3,2678,1.60,106.43,49.45
2018-05-01,2018,5,2655,1.82,105.76,49.8
2018-06-01,2018,6,2735,1.88,105.67,49.4
2018-08-01,2018,8,2813,1.99,106.29,48.38
2018-10-01,2018,10,2925,2.19,104.75,47.84
2018-11-01,2018,11,2740,2.27,104.31,44.69
2019-01-01,2019,1,2510,.,106.4,41.81
2019-02-01,2019,2,2707,2.35,107.25,45.03
2019-03-01,2019,3,2804,2.39,107.64,46.07
2019-04-01,2019,4,2867,2.38,108.27,46.88
2019-05-01,2019,5,2924,2.38,108.85,47.3
2019-07-01,2019,7,2964,2.16,110.79,47.1
2019-08-01,2019,8,2954,2.03,113.05,45.55
2019-10-01,2019,10,2940,1.78,112.92,45.66
2019-11-01,2019,11,3067,1.49,111.95,47.99
2020-01-01,2020,1,3258,.,112.91,49.72
2020-04-01,2020,4,2471,0.09,116.7,35.85
2020-05-01,2020,5,2831,0.12,116.41,39.04
2020-06-01,2020,6,3056,0.14,117.58,42.82
2020-07-01,2020,7,3116,0.14,118.48,43.48
2020-09-01,2020,9,3527,0.12,118.38,47.18
2020-10-01,2020,10,3381,0.09,117.95,46.37
2020-12-01,2020,12,3662,0.09,117.96,51.74
2021-01-01,2021,1,3701,.,116.99,53.32
2021-02-01,2021,2,3774,0.07,116.58,54.11
2021-03-01,2021,3,3902,0.05,113.79,55.47
2021-04-01,2021,4,4020,0.02,114.15,55.92
2021-06-01,2021,6,4202,0.02,114.94,58.9
2021-07-01,2021,7,4320,0.05,115.61,57.53
2021-09-01,2021,9,4524,0.05,116.02,57.95
2021-10-01,2021,10,4357,0.04,114.37,55.68
2021-11-01,2021,11,4614,0.05,114.32,57.6
2021-12-01,2021,12,4513,0.06,114.63,54.41
2022-02-01,2022,2,4547,0.20,109.46,54.61
2022-03-01,2022,3,4306,0.32,107.36,51.38
2022-04-01,2022,4,4546,0.52,104.61,52.78
2022-06-01,2022,6,4101,1.12,99.6,49.21
2022-07-01,2022,7,3825,1.66,101.84,44.97
2022-08-01,2022,8,4119,2.48,103.12,46.36
2022-09-01,2022,9,3967,2.88,99.63,43.79
2022-11-01,2022,11,3856,4.06,96.24,41.87
2022-12-01,2022,12,4077,4.22,98.81,47.23
2023-02-01,2023,2,4119,4.54,98.72,50.01
2023-03-01,2023,3,3951,4.73,98.87,47.81
2023-05-01,2023,5,4168,5.10,99.39,49.59
