full_date,year,month,price
1970/01/01,1970,1,93
1970/02/01,1970,2,86
1970/03/01,1970,3,90
1970/04/01,1970,4,90
1970/05/01,1970,5,81
1970/06/01,1970,6,78
1970/07/01,1970,7,73
1970/08/01,1970,8,77
1970/09/01,1970,9,81
1970/10/01,1970,10,84
1970/11/01,1970,11,84
1970/12/01,1970,12,87
1971/01/01,1971,1,91
1971/02/01,1971,2,96
1971/03/01,1971,3,97
1971/04/01,1971,4,100
1971/05/01,1971,5,103
1971/06/01,1971,6,100
1971/07/01,1971,7,100
1971/08/01,1971,8,96
1971/09/01,1971,9,99
1971/10/01,1971,10,99
1971/11/01,1971,11,93
1971/12/01,1971,12,95
1972/01/01,1972,1,102
1972/02/01,1972,2,104
1972/03/01,1972,3,107
1972/04/01,1972,4,107
1972/05/01,1972,5,107
1972/06/01,1972,6,110
1972/07/01,1972,7,107
1972/08/01,1972,8,108
1972/09/01,1972,9,112
1972/10/01,1972,10,110
1972/11/01,1972,11,113
1972/12/01,1972,12,117
1973/01/01,1973,1,120
1973/02/01,1973,2,115
1973/03/01,1973,3,111
1973/04/01,1973,4,110
1973/05/01,1973,5,107
1973/06/01,1973,6,104
1973/07/01,1973,7,103
1973/08/01,1973,8,107
1973/09/01,1973,9,105
1973/10/01,1973,10,108
1973/11/01,1973,11,108
1973/12/01,1973,12,94
1974/01/01,1974,1,100
1974/02/01,1974,2,95
1974/03/01,1974,3,96
1974/04/01,1974,4,93
1974/05/01,1974,5,92
1974/06/01,1974,6,89
1974/07/01,1974,7,86
1974/08/01,1974,8,79
1974/09/01,1974,9,71
1974/10/01,1974,10,63
1974/11/01,1974,11,74
1974/12/01,1974,12,68
1975/01/01,1975,1,71
1975/02/01,1975,2,78
1975/03/01,1975,3,83
1975/04/01,1975,4,83
1975/05/01,1975,5,88
1975/06/01,1975,6,93
1975/07/01,1975,7,95
1975/08/01,1975,8,88
1975/09/01,1975,9,86
1975/10/01,1975,10,83
1975/11/01,1975,11,88
1975/12/01,1975,12,91
1976/01/01,1976,1,93
1976/02/01,1976,2,101
1976/03/01,1976,3,100
1976/04/01,1976,4,102
1976/05/01,1976,5,101
1976/06/01,1976,6,100
1976/07/01,1976,7,104
1976/08/01,1976,8,103
1976/09/01,1976,9,104
1976/10/01,1976,10,104
1976/11/01,1976,11,103
