Date,Portfolio,Equities,Bonds,REITs,Stress,Asset_Equities,Asset_Bonds,Asset_REITs,Asset_Stress
2018-01-01,10173.786915642653,2668.4504596675774,2522.2337675628833,2402.2292563329624,2580.873432079231,VXUS,HYG,REM,GLD
2018-02-01,9954.677536001362,2410.0493176297905,2510.8151997347236,2543.167994638334,2490.6450239985134,VXUS,HYG,BIL,GLD
2018-03-01,10055.771190695672,2472.9264319398962,2483.4876068355684,2594.959359185425,2504.3977927347814,VXUS,HYG,REM,GLD
2018-04-01,10063.496634769115,2531.99710319692,2525.6989235865744,2515.840184452484,2489.9604235331353,VXUS,HYG,BIL,GLD
2018-05-01,10168.070664206032,2577.032605423222,2516.735912080362,2588.5158540680354,2485.786292634413,SPY,HYG,REM,GLD
2018-06-01,10154.315064984828,2545.207565089695,2543.859025407211,2519.9791124165267,2545.269362071395,SPY,HYG,REM,BIL
2018-07-01,10458.580899136017,2644.4455900533812,2581.2208586913903,2690.837302836754,2542.0771475544925,SPY,HYG,REM,BIL
2018-08-01,10574.91971288906,2698.104097582946,2633.7247444419354,2624.5285878069244,2618.562283057254,SPY,HYG,REM,BIL
2018-09-01,10503.5057270289,2647.4632213414116,2657.5035518479367,2551.194017653662,2647.3449361858898,SPY,HYG,REM,BIL
2018-10-01,10349.617231473005,2455.4831901116145,2630.1249927936874,2633.884055774015,2630.1249927936874,SPY,BIL,REM,BIL
2018-11-01,10460.343541652332,2635.398640808934,2592.102113632967,2640.7406735774643,2592.102113632967,SPY,BIL,REM,BIL
2018-12-01,10460.345576082977,2615.086394020744,2615.086394020744,2615.086394020744,2615.086394020744,BIL,BIL,BIL,BIL
2019-01-01,10962.418609792436,2628.7529361718957,2769.897413380497,2926.4496328268133,2637.318627413232,BIL,HYG,REM,TLT
2019-02-01,11047.106393798065,2829.443704758888,2761.21311801047,2759.6615410206837,2696.7880300080233,SPY,HYG,VNQ,TLT
2019-03-01,11371.06392690753,2799.4344334560415,2797.753616813494,2857.793433978271,2916.0824426597237,SPY,HYG,VNQ,TLT
2019-04-01,11470.799571141313,2971.93288187031,2854.4770640803754,2858.479144749121,2785.9104804415065,SPY,VCIT,VNQ,TLT
2019-05-01,11533.4656179189,2684.824156716822,2912.8278148924196,2871.6650562105865,3064.1485900990724,SPY,VCIT,VNQ,TLT
2019-06-01,12033.681352244199,3069.08267196523,2950.187293136657,2900.291622484567,3114.1197646577466,SPY,VCIT,VNQ,GLD
2019-07-01,12183.572467897058,3068.7583811957998,3017.03463121176,3089.1330394766806,3008.646416012817,SPY,VCIT,VNQ,GLD
