Date,Portfolio,Equities,Bonds,REITs,Stress,Asset_Equities,Asset_Bonds,Asset_REITs,Asset_Stress
2018-01-01,10173.786336416902,2668.4498143641426,2522.233617908261,2402.2294720652667,2580.873432079231,VXUS,HYG,REM,GLD
2018-02-01,9954.680421184516,2410.0497609475583,2510.816175336218,2543.1696027024973,2490.644882198243,VXUS,HYG,BIL,GLD
2018-03-01,10055.774640668718,2472.927149982721,2483.4886480386003,2594.960324058233,2504.3985185891643,VXUS,HYG,REM,GLD
2018-04-01,10045.219120178064,2527.3982263958087,2521.110767853911,2511.2718130652765,2485.4383128630684,VXUS,HYG,BIL,GLD
2018-05-01,10149.604885184859,2572.3523195966145,2512.1662653736344,2583.814740071575,2481.2715601430355,SPY,HYG,REM,GLD
2018-06-01,10135.876660774189,2540.585807132224,2539.239727664344,2515.4018713007627,2540.6492546768577,SPY,HYG,REM,BIL
2018-07-01,10439.587113366739,2639.64310280653,2576.531202330388,2685.9518634970414,2537.46094473278,SPY,HYG,REM,BIL
2018-08-01,10555.717387556613,2693.204091890049,2628.9439791092836,2619.762594461017,2613.806722096264,SPY,HYG,REM,BIL
2018-09-01,10484.433042185712,2642.6574062559835,2652.678290371719,2546.5600713867416,2642.537274171268,SPY,HYG,REM,BIL
2018-10-01,10330.825577741402,2451.023739159513,2625.349618407049,2629.1026017677914,2625.349618407049,SPY,BIL,REM,BIL
2018-11-01,10441.347937012408,2630.61341430067,2587.3944114916203,2635.9456997284965,2587.3944114916203,SPY,BIL,REM,BIL
2018-12-01,10441.350983117582,2610.3377457793954,2610.3377457793954,2610.3377457793954,2610.3377457793954,BIL,BIL,BIL,BIL
2019-01-01,10942.50972030442,2623.979473965237,2764.8666585535066,2921.135146208272,2632.528441577405,BIL,HYG,REM,TLT
2019-02-01,11027.046339799297,2824.3058398950134,2756.1993314829065,2754.649388780568,2691.8917796408095,SPY,HYG,VNQ,TLT
2019-03-01,11350.414927720441,2794.351535311881,2792.67277477609,2852.602790158622,2910.787827473849,SPY,HYG,VNQ,TLT
2019-04-01,11441.441806683057,2964.325592742807,2847.1744859230976,2851.1629281814253,2778.7787998357276,SPY,VCIT,VNQ,TLT
2019-05-01,11503.9436896509,2677.9511705757745,2905.370999040121,2864.317045015312,3056.3044750196923,SPY,VCIT,VNQ,TLT
2019-06-01,11994.284302736243,3059.0352331919057,2940.5308292252425,2890.794133231608,3103.9241070874864,SPY,VCIT,VNQ,GLD
2019-07-01,12143.686380881281,3058.712270611442,3007.1571620328523,3079.020534757392,2998.7964134795952,SPY,VCIT,VNQ,GLD
2019-08-01,12525.464353773637,2985.0907733674417,3114.587511392225,3149.652840897481,3276.13322811649,SPY,VCIT,VNQ,GLD
2019-09-01,12510.816284903942,3177.6217334286653,3118.7293396132513,3166.3397505703615,3048.125461291663,SPY,VCIT,VNQ,TLT
2019-10-01,12641.800610144313,3211.6030095672504,3148.989714177532,3188.2662689106037,3092.941617488927,SPY,VCIT,VNQ,TLT
2019-11-01,12703.064141702245,3274.852767698148,3161.3830436233775,3119.225859025374,3147.602471355346,SPY,VCIT,VNQ,TLT
