Date,Portfolio,Equities,Bonds,REITs,Stress,Asset_Equities,Asset_Bonds,Asset_REITs,Asset_Stress
2018-01-01,10173.786659624056,2668.449351086714,2522.2344206315884,2402.2294558265244,2580.873432079231,VXUS,HYG,REM,GLD
2018-02-01,9960.712323022623,2410.0486449021037,2510.81626969217,2543.168181075798,2496.679227352551,VXUS,HYG,BIL,GLD
2018-03-01,10061.608725193757,2474.4262012254603,2484.993002801646,2596.532453721708,2505.657067444942,VXUS,HYG,REM,GLD
2018-04-01,10064.810518668555,2533.4669691444424,2527.162519029925,2517.3006697267865,2486.8803607674017,VXUS,HYG,BIL,GLD
2018-05-01,10178.446269833565,2577.3698850256355,2520.156032416695,2592.0327698162937,2488.8875825749415,SPY,HYG,REM,GLD
2018-06-01,10164.677354281554,2547.803759114087,2546.457269037749,2522.549494911735,2547.8668312179834,SPY,HYG,REM,BIL
2018-07-01,10469.25289250036,2647.1455034826313,2583.851478353555,2693.5841230581927,2544.671787605982,SPY,HYG,REM,BIL
2018-08-01,10585.711404509442,2700.8569214056606,2636.4133866706256,2627.2070753255653,2621.2340211075916,SPY,HYG,REM,BIL
2018-09-01,10514.225221365656,2650.165573329937,2660.2167003218615,2553.7969173974675,2650.046030316389,SPY,HYG,REM,BIL
2018-10-01,10368.07241764009,2457.987536123183,2632.810228272855,2640.521395621483,2636.75325762257,SPY,BIL,REM,BIL
2018-11-01,10478.99611414484,2640.099493075622,2596.723527799508,2645.449565470203,2596.723527799508,SPY,BIL,REM,BIL
2018-12-01,10550.501961884327,2619.7492832934827,2638.0894677466345,2638.0894677466345,2654.5737430975746,BIL,BIL,BIL,BIL
2019-01-01,11053.659316934501,2651.409822807824,2793.7710107699936,2950.5149374439743,2657.96354591271,BIL,HYG,REM,TLT
2019-02-01,11140.993148185038,2852.9931263887634,2784.218639410607,2782.65342423289,2721.1279581527774,SPY,HYG,VNQ,TLT
2019-03-01,11467.702446040219,2823.2271803594244,2821.530197529476,2882.0808273407965,2940.864240810522,SPY,HYG,VNQ,TLT
2019-04-01,11564.049263536335,2997.190222934259,2878.739666762284,2880.6251405692497,2807.494233270543,SPY,VCIT,VNQ,TLT
2019-05-01,11627.221800508889,2706.6493095066808,2936.50456781299,2895.0103507619547,3089.0575724272644,SPY,VCIT,VNQ,TLT
2019-06-01,12131.506594988623,3094.0314154660114,2974.1735947007,2923.8669676354725,3139.434617186437,SPY,VCIT,VNQ,GLD
2019-07-01,12282.614666166026,3093.7055438086104,3041.5590620618573,3114.245495744204,3033.1045645513527,SPY,VCIT,VNQ,GLD
2019-08-01,12668.762303548086,3019.2413211958315,3150.2205255479266,3185.6870470139156,3313.613409790415,SPY,VCIT,VNQ,GLD
2019-09-01,12653.945200899476,3213.974327055902,3154.4092572506192,3202.5643516054583,3082.9972649874967,SPY,VCIT,VNQ,TLT
2019-10-01,12786.42619823263,3248.3458163322243,3185.0141683572074,3224.740061734021,3128.3261518091763,SPY,VCIT,VNQ,TLT
2019-11-01,12848.391399476308,3312.3183236033474,3197.5514073386507,3154.9115830983183,3183.6100854359916,SPY,VCIT,VNQ,TLT
2019-12-01,13082.714422804915,3289.254442537552,3262.6120422739245,3201.8879479512434,3328.959990042195,SPY,HYG,VNQ,GLD
2020-01-01,13525.21658190698,3285.433109250759,3360.9210811517164,3345.6784525720154,3533.183938932489,SPY,VCIT,VNQ,TLT
2020-02-01,13267.733212344861,3113.61972292965,3411.009552991406,3143.7171909313697,3599.3867454924366,SPY,VCIT,VNQ,TLT
2020-03-01,13403.177856841803,3324.1166611879985,3105.543999683716,3356.523549676086,3616.9936462940045,BIL,VCIT,BIL,TLT
2020-04-01,13617.872006338794,3351.7859834254964,3522.552686343364,3351.7859834254964,3391.747353144437,BIL,VCIT,BIL,TLT
2020-05-01,13961.799180886928,3566.6742957012784,3497.3820617396614,3405.2246273223873,3492.5181961236017,SPY,VCIT,BIL,GLD
2020-06-01,14087.517326285144,3536.7877537742092,3557.505293402569,3490.9827820442856,3502.24149706408,SPY,VCIT,BIL,TLT
2020-07-01,14763.028084280548,3745.701915223212,3593.1562944685547,3522.2634534229423,3901.9064211658383,SPY,VCIT,BIL,GLD
2020-08-01,14999.386004919856,3948.35886759461,3681.455178506002,3690.757021070137,3678.814937749106,SPY,VCIT,BIL,GLD
2020-09-01,14672.418236110525,3595.0474827472335,3734.91724721492,3749.028264530151,3593.4252416182208,SPY,VCIT,BIL,GLD
2020-10-01,14571.089422059185,3590.9633586763707,3662.569383953168,3668.505019966361,3649.0516594632845,SPY,VCIT,BIL,GLD
2020-11-01,14842.73561310826,4039.0212447793506,3715.591240554469,3642.3747036023333,3445.7484241721077,SPY,VCIT,BIL,GLD
2020-12-01,15230.82027359219,3831.825294672458,3717.364951419121,3710.683903277065,3970.946124223547,SPY,VCIT,BIL,GLD
2021-01-01,15074.28186605257,3784.968750631558,3796.532143258867,3807.829346623293,3684.9516255388526,SPY,VCIT,BIL,GLD
2021-02-01,15059.311184643379,3873.356247006873,3745.6040905183027,3902.841040752937,3537.509806365265,SPY,HYG,VNQ,GLD
2021-03-01,15370.452049544445,3922.9002567345856,3810.9925448659947,3927.4500967481836,3709.1091511956806,SPY,HYG,REM,GLD
2021-04-01,15842.359835810534,3958.9261502770714,3851.459255402188,4069.255434349137,3962.718995782138,VXUS,HYG,REM,GLD
2021-05-01,16282.640352286176,4082.2833554688145,3962.176866682085,3973.481104426027,4264.699025709252,VXUS,HYG,REM,GLD
2021-06-01,16438.062040154244,4148.383269371164,4128.128686613524,4088.378816160911,4073.171268008647,SPY,HYG,REM,BIL
2021-07-01,16513.636044117742,4223.611275280685,4113.913558932711,4067.0461377850165,4109.06507211933,SPY,HYG,REM,BIL
2021-08-01,16771.115194518872,4251.2704992836525,4153.935538677506,4237.951922319733,4127.957234237982,SPY,HYG,REM,BIL
2021-09-01,16439.927867661827,3984.6063105913586,4177.68036161265,4084.4035257581154,4193.237669699701,SPY,HYG,REM,BIL
2021-10-01,16904.961730452927,4412.443678765707,4096.462840159473,4286.52300491002,4109.532206617729,SPY,HYG,REM,BIL
2021-11-01,16750.598018758712,4192.284145397221,4177.323178070945,4137.095575412825,4243.8951198777195,SPY,HYG,VNQ,BIL
2021-12-01,17373.20548955919,4365.979909618733,4268.243503764664,4551.332571486118,4187.649504689678,SPY,HYG,VNQ,BIL
2022-01-01,16743.344281463855,4128.684606192908,4256.47294861992,4014.8853542612314,4343.3013723897975,SPY,HYG,VNQ,BIL
2022-02-01,16679.353577956288,4062.2827298831767,4134.932363949051,4040.0570102831316,4442.081473840928,SPY,HYG,VNQ,GLD
2022-03-01,17122.12979852981,4313.184944227693,4170.7503292313795,4411.194494510943,4227.000030559796,SPY,BIL,VNQ,GLD
2022-04-01,16517.98806544192,3916.9649627211265,4281.0930399722165,4128.017320287135,4191.912742461446,SPY,BIL,VNQ,GLD
2022-05-01,16326.507845497594,4130.852970522959,4130.153694282282,3935.34748641007,4130.153694282282,BIL,BIL,VNQ,BIL
2022-06-01,16292.15527723561,4083.411423993046,4083.411423993046,4083.411423993046,4041.9210052564717,BIL,BIL,BIL,GLD
2022-07-01,16294.11901875083,4073.5297546877073,4073.5297546877073,4073.5297546877073,4073.5297546877073,BIL,BIL,BIL,BIL
2022-08-01,16317.82264278617,4079.4556606965425,4079.4556606965425,4079.4556606965425,4079.4556606965425,BIL,BIL,BIL,BIL
2022-09-01,16344.066491324715,4086.0166228311787,4086.0166228311787,4086.0166228311787,4086.0166228311787,BIL,BIL,BIL,BIL
2022-10-01,16367.135059234255,4091.783764808564,4091.783764808564,4091.783764808564,4091.783764808564,BIL,BIL,BIL,BIL
2022-11-01,16409.192113584908,4102.298028396227,4102.298028396227,4102.298028396227,4102.298028396227,BIL,BIL,BIL,BIL
2022-12-01,16410.66414902214,4102.666037255535,4102.666037255535,4102.666037255535,4102.666037255535,BIL,BIL,BIL,BIL
2023-01-01,16753.773090571813,4138.274651552092,4138.274651552092,4138.274651552092,4338.949135915537,BIL,BIL,BIL,GLD
2023-02-01,16750.119371843248,4187.529842960812,4187.529842960812,4187.529842960812,4187.529842960812,BIL,BIL,BIL,BIL
