Année,Module,Ancien_Actif,Nouvel_Actif,Plus-value,Taxe
2018,REITs,REM,BIL,60.88704605327206,18.266113815981615
2019,Bonds,HYG,VCIT,28.191734000834675,8.457520200250402
2019,Stress,TLT,GLD,27.46249092028537,8.23874727608561
2019,Bonds,VCIT,HYG,7.2268974542986015,2.1680692362895804
2020,Bonds,HYG,VCIT,9.141473085488855,2.742441925646656
2020,Stress,GLD,TLT,145.4922129920212,43.64766389760636
2020,Stress,GLD,TLT,93.08616420619259,27.925849261857778
2020,Stress,TLT,GLD,152.2481005749511,45.67443017248533
2021,REITs,VNQ,REM,165.52491323973638,49.657473971920915
2021,Equities,SPY,VXUS,209.14860216930592,62.744580650791775
2022,Equities,SPY,BIL,8.97313183179297,2.691939549537891
2023,Bonds,HYG,BIL,43.642726516318774,13.092817954895631
2023,Equities,VXUS,SPY,331.54442562860993,99.46332768858298
2025,REITs,VNQ,REM,200.19905754419338,60.05971726325801
2025,Bonds,HYG,VCIT,5.453310199283715,1.6359930597851144
